Conf,G_x,GS,MP_x,FG,FGA,FG%_x,2P,2PA,2P%,3P,3PA,3P%_x,FT,FTA,FT%_x,ORB,DRB,TRB_x,AST_x,STL,BLK,TOV,PF,PTS_x,SOS,Years Played,Player,Rk,Pk,Tm,College,Yrs,G_y,MP_y,PTS_y,TRB_y,AST_y,FG%_y,3P%_y,FT%_y,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year,Conf Tier
SEC,90.0,88.0,33.0,5.5,11.9,0.462,4.3,8.5,0.511,1.2,3.4,0.34,3.6,5.4,0.671,1.7,3.4,5.0,3.3,2.4,0.5,2.3,1.7,15.7,5.35,3,Ronnie Brewer,14,14,UTA,Arkansas,8.0,502.0,11539.0,3940.0,1427.0,828.0,0.49,0.254,0.675,23.0,7.8,2.8,1.6,30.4,0.127,1.6,10.6,2006,SEC
ACC,63.0,33.0,18.9,2.7,4.8,0.565,2.7,4.7,0.566,0.0,0.1,0.5,2.3,3.5,0.652,1.3,2.9,4.1,1.1,0.4,1.8,1.3,2.5,7.7,7.39,2,Cedric Simmons,15,15,NOK,NC State,3.0,75.0,705.0,163.0,141.0,14.0,0.409,,0.39,9.4,2.2,1.9,0.2,0.1,0.005,-5.0,-0.5,2006,ACC
AAC,133.0,101.0,27.6,5.0,11.9,0.415,2.8,6.0,0.468,2.2,6.0,0.362,2.2,3.1,0.717,1.5,3.4,4.9,1.2,1.0,1.0,1.4,2.1,14.3,5.22,4,Rodney Carney,16,16,CHI,Memphis,5.0,299.0,4600.0,1778.0,588.0,132.0,0.422,0.338,0.704,15.4,5.9,2.0,0.4,6.2,0.064,-1.6,0.5,2006,Other
AAC,36.0,34.0,27.8,4.3,10.4,0.416,3.0,6.1,0.489,1.3,4.3,0.312,3.2,4.0,0.786,1.7,4.4,6.2,1.9,1.4,1.4,2.3,2.9,13.2,4.24,1,Shawne Williams,17,17,IND,Memphis,7.0,314.0,5368.0,1769.0,945.0,220.0,0.403,0.339,0.755,17.1,5.6,3.0,0.7,6.7,0.06,-2.2,-0.3,2006,Other
Big 10,95.0,64.0,32.1,6.1,14.1,0.432,3.5,7.3,0.473,2.6,6.8,0.389,2.9,3.6,0.82,0.7,2.2,2.9,2.7,1.3,0.7,2.2,1.8,17.8,6.93,3,Quincy Douby,19,19,SAC,Rutgers University,3.0,143.0,1535.0,588.0,152.0,93.0,0.389,0.312,0.884,10.7,4.1,1.1,0.7,0.0,0.0,-3.5,-0.6,2006,Big 10
SEC,104.0,40.0,21.1,3.0,5.5,0.553,2.9,5.0,0.581,0.2,0.5,0.291,1.2,2.2,0.533,2.1,3.2,5.3,1.7,1.2,1.1,1.7,2.1,7.4,7.11,3,Renaldo Balkman,20,20,NYK,South Carolina,6.0,221.0,3064.0,894.0,769.0,132.0,0.51,0.172,0.542,13.9,4.0,3.5,0.6,7.2,0.113,0.1,1.6,2006,SEC
SEC,68.0,62.0,28.1,3.7,7.4,0.493,3.3,6.0,0.544,0.4,1.5,0.283,1.9,3.3,0.577,0.8,3.7,4.5,4.2,2.3,0.2,2.2,2.0,9.6,8.49,2,Rajon Rondo,21,21,PHO,Kentucky,16.0,957.0,28570.0,9337.0,4349.0,7584.0,0.456,0.324,0.611,29.9,9.8,4.5,7.9,61.8,0.104,1.2,23.2,2006,SEC
Big East,70.0,51.0,27.9,2.9,7.2,0.402,2.1,5.2,0.413,0.8,2.1,0.375,2.4,3.0,0.791,0.7,2.6,3.2,7.3,1.0,0.2,3.2,1.7,9.0,7.32,3,Marcus Williams,22,22,NJN,UConn,4.0,203.0,3095.0,1128.0,361.0,574.0,0.386,0.321,0.767,15.2,5.6,1.8,2.8,0.0,-0.001,-3.3,-1.0,2006,Big East
Pac 12,70.0,51.0,27.9,2.9,7.2,0.402,2.1,5.2,0.413,0.8,2.1,0.375,2.4,3.0,0.791,0.7,2.6,3.2,7.3,1.0,0.2,3.2,1.7,9.0,7.32,3,Marcus Williams,33,33,SAS,Arizona,2.0,13.0,39.0,14.0,12.0,3.0,0.318,,,3.0,1.1,0.9,0.2,-0.1,-0.084,-5.4,0.0,2007,Pac 12
Big East,63.0,54.0,30.8,5.6,11.9,0.475,4.8,9.5,0.504,0.8,2.4,0.356,2.6,3.7,0.71,2.0,3.7,5.6,2.0,1.0,0.7,2.2,2.0,14.7,10.42,2,Marcus Williams,22,22,NJN,UConn,4.0,203.0,3095.0,1128.0,361.0,574.0,0.386,0.321,0.767,15.2,5.6,1.8,2.8,0.0,-0.001,-3.3,-1.0,2006,Big East
Pac 12,63.0,54.0,30.8,5.6,11.9,0.475,4.8,9.5,0.504,0.8,2.4,0.356,2.6,3.7,0.71,2.0,3.7,5.6,2.0,1.0,0.7,2.2,2.0,14.7,10.42,2,Marcus Williams,33,33,SAS,Arizona,2.0,13.0,39.0,14.0,12.0,3.0,0.318,,,3.0,1.1,0.9,0.2,-0.1,-0.084,-5.4,0.0,2007,Pac 12
Big East,103.0,100.0,25.9,3.7,6.4,0.578,3.7,6.4,0.578,0.0,0.0,,1.9,3.4,0.559,3.1,3.8,7.0,0.8,0.5,2.2,1.3,1.9,9.3,7.32,3,Josh Boone,23,23,NJN,UConn,4.0,256.0,4482.0,1340.0,1258.0,125.0,0.544,,0.445,17.5,5.2,4.9,0.5,9.1,0.097,-2.0,0.0,2006,Big East
Big East,57.0,34.0,26.7,3.2,7.1,0.449,2.9,6.4,0.463,0.2,0.7,0.325,2.9,4.0,0.737,1.4,2.4,3.8,3.0,1.9,0.2,1.9,2.6,9.5,8.83,2,Kyle Lowry,24,24,MEM,Villanova,17.0,1067.0,34077.0,15644.0,4665.0,6701.0,0.424,0.367,0.815,31.9,14.7,4.4,6.3,107.6,0.152,3.0,42.6,2006,Big East
Big 10,97.0,89.0,28.0,4.3,9.4,0.457,3.2,6.3,0.503,1.1,3.1,0.364,2.5,3.0,0.831,1.0,2.4,3.4,1.9,1.3,0.1,2.0,1.9,12.2,7.69,3,Shannon Brown,25,25,CLE,Michigan State,9.0,408.0,7329.0,3118.0,760.0,458.0,0.42,0.332,0.807,18.0,7.6,1.9,1.1,9.2,0.06,-1.5,1.0,2006,Big 10
Pac 12,66.0,66.0,32.2,4.4,10.8,0.41,3.0,6.4,0.463,1.5,4.4,0.333,3.0,4.0,0.76,0.6,2.4,3.0,5.2,1.2,0.2,3.8,2.1,13.3,7.67,2,Jordan Farmar,26,26,LAL,UCLA,10.0,504.0,9840.0,3888.0,958.0,1453.0,0.423,0.374,0.739,19.5,7.7,1.9,2.9,13.9,0.068,-0.5,3.7,2006,Pac 12
Big 10,124.0,73.0,25.6,4.2,9.6,0.441,2.6,5.3,0.492,1.6,4.3,0.38,2.5,3.2,0.775,0.8,2.6,3.4,1.5,0.5,0.3,1.7,1.9,12.5,8.2,4,Maurice Ager,28,28,DAL,Michigan State,4.0,82.0,505.0,169.0,46.0,19.0,0.339,0.25,0.566,6.2,2.1,0.6,0.2,-0.9,-0.089,-9.4,-0.9,2006,Big 10
AAC,125.0,124.0,37.5,5.7,14.4,0.399,4.3,9.4,0.457,1.5,5.0,0.292,2.4,3.9,0.624,1.2,3.3,4.6,3.2,2.3,0.2,2.0,2.3,15.4,5.33,4,Mardy Collins,29,29,NYK,Temple,4.0,189.0,2771.0,742.0,336.0,327.0,0.38,0.299,0.599,14.7,3.9,1.8,1.7,-1.6,-0.027,-4.4,-1.7,2006,Other
AAC,123.0,87.0,27.1,3.5,7.8,0.444,2.5,4.9,0.508,1.0,2.9,0.336,2.4,3.0,0.784,1.0,3.2,4.2,2.6,1.0,0.6,2.0,2.2,10.3,7.45,4,James White,31,31,POR,Cincinnati,3.0,67.0,583.0,182.0,68.0,35.0,0.438,0.34,0.676,8.7,2.7,1.0,0.5,0.8,0.062,-3.2,-0.2,2006,Other
Big East,126.0,89.0,27.0,3.8,8.4,0.456,1.0,2.3,0.443,2.8,6.1,0.461,1.9,2.1,0.931,1.0,3.2,4.2,1.0,0.5,0.1,1.1,2.0,12.4,6.06,4,Steve Novak,32,32,HOU,Marquette,11.0,467.0,5657.0,2177.0,591.0,132.0,0.437,0.43,0.877,12.1,4.7,1.3,0.3,14.5,0.123,0.8,4.0,2006,Big East
AAC,59.0,56.0,31.2,3.7,7.3,0.505,3.7,7.2,0.507,0.0,0.0,0.0,2.5,3.6,0.693,2.6,5.4,8.0,1.0,0.6,2.6,2.7,3.4,9.8,3.34,2,Solomon Jones,33,33,ATL,South Florida,8.0,281.0,3092.0,839.0,654.0,99.0,0.467,0.111,0.717,11.0,3.0,2.3,0.4,5.0,0.078,-4.0,-1.6,2006,Other
Big 10,130.0,97.0,25.8,4.7,8.8,0.538,4.6,8.4,0.549,0.1,0.4,0.271,3.7,4.8,0.763,2.1,4.9,7.0,1.4,1.1,0.7,2.1,2.6,13.2,8.2,4,Paul Davis,34,34,LAC,Michigan State,4.0,82.0,702.0,217.0,158.0,32.0,0.402,0.0,0.732,8.6,2.6,1.9,0.4,0.5,0.035,-4.2,-0.4,2006,Big 10
Big 12,87.0,69.0,28.9,5.0,9.6,0.526,5.0,9.5,0.527,0.0,0.0,0.5,3.3,4.7,0.711,3.1,5.1,8.2,2.0,1.3,0.3,2.2,2.5,13.4,7.65,3,P.J. Tucker,35,35,TOR,Texas,12.0,827.0,23834.0,5700.0,4587.0,1191.0,0.425,0.365,0.75,28.8,6.9,5.5,1.4,41.5,0.084,-0.9,6.6,2006,Big 12
ACC,130.0,127.0,34.0,7.1,12.7,0.558,7.0,12.2,0.572,0.1,0.5,0.239,3.8,5.9,0.643,3.0,5.6,8.6,1.9,1.3,0.8,2.3,2.9,18.1,6.73,4,Craig Smith,36,36,MIN,Boston College,6.0,403.0,6826.0,3080.0,1567.0,322.0,0.553,0.037,0.661,16.9,7.6,3.9,0.8,16.0,0.113,-1.2,1.4,2006,ACC
Pac 12,125.0,105.0,24.1,3.4,6.8,0.501,2.9,5.4,0.536,0.5,1.4,0.367,2.5,3.5,0.707,2.0,2.9,4.9,1.2,1.1,0.5,1.3,3.5,9.8,6.83,4,Bobby Jones,37,37,MIN,Washington,2.0,91.0,867.0,288.0,149.0,44.0,0.442,0.306,0.685,9.5,3.2,1.6,0.5,1.1,0.06,-4.1,-0.5,2006,Pac 12
ACC,127.0,51.0,23.2,2.7,5.2,0.532,2.2,3.7,0.6,0.5,1.4,0.354,0.9,1.6,0.587,1.6,2.7,4.3,1.9,1.1,0.5,1.7,2.0,6.9,10.19,4,David Noel,39,39,MIL,UNC,1.0,68.0,792.0,184.0,123.0,65.0,0.367,0.321,0.86,11.6,2.7,1.8,1.0,0.4,0.024,-3.1,-0.2,2006,ACC
Big East,135.0,96.0,24.1,3.4,7.9,0.429,2.5,5.3,0.466,0.9,2.7,0.354,1.6,2.1,0.776,1.1,2.9,3.9,1.3,0.7,0.2,1.5,1.5,9.4,7.4,4,Denham Brown,40,40,SEA,UConn,,,,,,,,,,,,,,,,,,2006,Big East
Big 10,137.0,134.0,27.1,3.9,6.3,0.617,3.9,6.2,0.623,0.0,0.1,0.333,2.3,3.3,0.687,2.6,4.9,7.5,1.1,1.0,1.0,1.5,2.6,10.1,7.15,4,James Augustine,41,41,ORL,Illinois,2.0,27.0,156.0,42.0,33.0,4.0,0.514,,0.5,5.8,1.6,1.2,0.1,0.3,0.101,-2.7,0.0,2006,Big 10
Big 12,68.0,68.0,33.0,4.3,10.5,0.411,1.8,3.9,0.451,2.6,6.6,0.387,2.5,3.4,0.741,0.8,2.8,3.6,3.5,1.5,0.3,2.4,2.5,13.8,7.28,2,Daniel Gibson,42,42,CLE,Texas,7.0,397.0,9316.0,3115.0,792.0,775.0,0.402,0.407,0.78,23.5,7.8,2.0,2.0,16.0,0.082,-1.0,2.4,2006,Big 12
ACC,92.0,73.0,21.0,3.3,6.4,0.52,3.2,6.0,0.535,0.1,0.4,0.308,3.0,4.5,0.667,1.7,3.5,5.2,0.7,0.9,0.7,2.6,2.9,9.8,7.38,3,Alexander Johnson,45,45,IND,Florida State,2.0,102.0,1302.0,439.0,275.0,30.0,0.517,,0.672,12.8,4.3,2.7,0.3,1.5,0.056,-4.6,-0.9,2006,ACC
Big 10,137.0,136.0,34.3,4.7,11.0,0.422,2.5,5.0,0.498,2.2,6.1,0.36,1.7,2.4,0.725,0.8,2.5,3.3,4.9,1.7,0.1,2.1,1.9,13.2,7.15,4,Dee Brown,46,46,UTA,Illinois,2.0,68.0,711.0,140.0,69.0,119.0,0.34,0.25,0.643,10.5,2.1,1.0,1.8,0.1,0.008,-3.0,-0.2,2006,Big 10
CUSA,92.0,91.0,35.2,7.2,12.4,0.577,7.1,12.2,0.58,0.1,0.2,0.375,4.2,6.8,0.62,5.5,7.3,12.7,0.9,1.3,2.0,2.4,3.1,18.6,2.11,3,Paul Millsap,47,47,UTA,Louisiana Tech,16.0,1085.0,30499.0,14536.0,7673.0,2378.0,0.489,0.341,0.736,28.1,13.4,7.1,2.2,95.4,0.15,1.9,29.9,2006,Other
Pac 12,54.0,53.0,32.5,5.9,12.0,0.492,5.9,11.9,0.495,0.1,0.2,0.3,5.9,8.8,0.672,3.4,6.4,9.8,1.1,0.8,0.6,2.2,2.4,17.8,7.74,2,Leon Powe,49,49,DEN,California,5.0,239.0,3320.0,1484.0,911.0,78.0,0.515,0.0,0.682,13.9,6.2,3.8,0.3,12.0,0.174,-1.6,0.3,2006,Pac 12
Pac 12,113.0,61.0,20.2,2.0,3.5,0.575,2.0,3.5,0.574,0.0,0.0,1.0,1.7,2.9,0.591,1.6,2.5,4.0,0.4,0.2,0.9,1.4,2.4,5.7,7.98,4,Ryan Hollins,50,50,CHA,UCLA,10.0,518.0,6134.0,1913.0,1140.0,151.0,0.584,0.0,0.649,11.8,3.7,2.2,0.3,10.4,0.081,-4.1,-3.2,2006,Pac 12
ACC,93.0,81.0,32.6,5.5,12.4,0.448,3.7,7.5,0.493,1.9,4.9,0.38,2.9,3.9,0.74,0.9,2.5,3.4,2.6,1.3,0.3,2.1,1.8,15.9,6.01,3,Guillermo Díaz,52,52,LAC,Miami (FL),1.0,6.0,18.0,5.0,2.0,1.0,0.25,0.0,0.6,3.0,0.8,0.3,0.2,0.0,0.033,-2.9,0.0,2006,ACC
Pac 12,130.0,100.0,27.8,5.8,11.6,0.499,5.2,9.7,0.535,0.6,1.9,0.311,1.9,2.7,0.704,2.5,3.0,5.4,2.0,1.8,0.7,2.0,2.0,14.0,8.42,4,Hassan Adams,54,54,NJN,Arizona,2.0,73.0,547.0,185.0,84.0,14.0,0.534,0.0,0.643,7.5,2.5,1.2,0.2,0.8,0.072,-2.3,0.0,2006,Pac 12
A10,89.0,44.0,27.9,4.8,10.0,0.484,4.1,7.8,0.533,0.7,2.2,0.308,2.3,3.1,0.746,1.6,2.9,4.6,2.1,1.8,0.6,2.0,2.1,12.6,1.61,3,J.R. Pinnock,58,58,DAL,George Washington,,,,,,,,,,,,,,,,,,2006,Other
Big 12,93.0,92.0,34.3,4.2,10.0,0.421,3.2,7.1,0.445,1.1,2.9,0.365,2.1,2.9,0.719,0.6,2.5,3.1,5.0,1.9,0.1,2.5,1.6,11.6,7.92,3,Will Blalock,60,60,DET,Iowa State,1.0,14.0,166.0,25.0,15.0,17.0,0.3,0.2,1.0,11.9,1.8,1.1,1.2,-0.1,-0.032,-5.8,-0.2,2006,Big 12
Big 10,32.0,31.0,28.9,5.9,9.6,0.616,5.9,9.6,0.616,0.0,0.0,,3.8,6.1,0.628,3.5,6.0,9.6,0.7,0.6,3.3,2.0,2.7,15.7,9.03,1,Greg Oden,1,1,POR,Ohio State,3.0,105.0,2028.0,840.0,656.0,51.0,0.574,,0.658,19.3,8.0,6.2,0.5,7.3,0.174,-0.4,0.8,2007,Big 10
